pickup_zone_id,trip_count,avg_fare,avg_distance
132,12539,63.63,16.26
161,6474,17.59,2.92
186,6265,16.53,2.61
138,6079,40.15,9.54
237,5301,12.29,1.85
162,5055,16.03,2.67
236,4865,12.81,2.07
230,4844,21.83,4.02
142,4389,14.06,2.34
48,4199,17.52,3.02
170,4138,16.23,2.66
163,3961,18.8,3.27
68,3944,18.0,2.93
239,3935,14.15,2.4
79,3514,15.53,2.68
164,3469,17.38,2.91
141,3355,12.52,2.08
263,3065,12.73,2.24
107,3001,14.67,2.49
234,2967,14.41,2.27
140,2589,13.91,2.35
238,2562,13.73,2.36
229,2543,13.56,2.26
100,2509,17.7,2.97
43,2459,15.52,2.41
